"Species","Scenario","Subpopulation #","Subpopulation","Correct Productivity Weighting?","Productivity Weighting","Correct Capacity Weighting?","Capacity Weighting","Diversity","Survival","Eggs per Spawner","Productivity","Capacity","Equilibrium Abundance","Juvenile-to-Adult Survival","Juvenile-to-Spawner Survival","Juvenile Productivity","Juvenile Capacity","Juvenile Abundance","Juvenile-to-Adult Productivity","Juvenile-to-Adult Capacity","Juvenile-to-Adult Abundance","...3"
"Coho","with Project 10",1220,"Tidal Zone SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.453815261044177,0.00363461109653783,1500,5.45191664480675,699.508177577584,571.203175291112,0.125216406354641,0.0850717905922552,47.959069955076,8894.38104853363,6714.36643468409,6.00715712661785,1113.60838926302,840.748835899366,NA
"Coho","with Project 10",1230,"Lower Chehalis: Porter to Black SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.552036199095023,0.00152509747587308,1500,2.28764621380962,796.718237873865,448.4483729514,0.129135038681308,0.117265455403477,19.4748038890101,6803.22206771402,3824.21550667601,2.51696401238158,877.967943777678,493.840217380265,NA
"Coho","with Project 10",1240,"Lower Chehalis: Black to Skook SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.464788732394366,0.00147606140589109,1500,2.21409210883663,1075.26028170338,589.616402023795,0.128264215751788,0.117035529683106,19.0372192722025,9140.36889548209,5037.92654777812,2.42221344068004,1180.15081388884,646.185697665873,NA
"Coho","with Project 10",1250,"Middle Chehalis: Skook to Newaukum SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.130769230769231,0.00133347666139751,1500,2.00021499209627,307.171525828541,153.60227100228,0.13728504946662,0.122394407859412,16.2756709124699,2520.01132254995,1254.97785142859,2.25820079565121,342.323933143203,172.289696412886,NA
"Coho","with Project 10",1260,"Middle Chehalis: Newaukum to SF SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0278745644599303,0.00111883302035715,1500,1.67824953053572,402.710464226048,162.751830602896,0.133123739649504,0.117053096638146,14.1125510254355,3523.21031489103,1390.41029479144,1.8753339683766,470.323844298337,185.096618089806,NA
"Coho","with Project 10",1270,"Middle Chehalis: SF to Rainbow Falls SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0130718954248366,0.000969807610107356,1500,1.45471141516103,126.928631249241,39.6751527060826,0.13727373269202,0.12685672403919,11.0556874317553,1089.8108055973,312.755614702976,1.56266609831632,139.611237438031,42.9331306506648,NA
"Coho","with Project 10",1280,"Chehalis RBF to Crim SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0376344086021505,0.00100967936351297,1500,1.51451904526946,150.118021155179,50.998751824056,0.132769420388975,0.12085597800595,12.5302725412832,1242.37949815022,421.979555049772,1.6579475326046,166.0578949917,56.0259809399559,NA
"Coho","with Project 10",1290,"Upper Chehalis SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.028169014084507,0.00086025580804392,1500,1.29038371206588,51.3139054315516,11.5475127285632,0.136430100232421,0.124971408651518,10.323838763386,410.823419153368,92.4012368362063,1.40790256997319,56.128333553038,12.6063100031633,NA
"Coho","with Project 10",1300,"EF Chehalis River SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.192727272727273,0.00179274756910982,1500,2.68912135366473,305.230207184223,191.724653867242,0.128572737361696,0.120228278075177,22.6925596334163,2517.36095338788,1594.67187700517,2.85403320364168,327.892532784485,205.031328420268,NA
"Coho","with Project 10",1310,"Wynoochee SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.853279452906435,0.00306729826656002,1500,4.60094739984004,10432.0556667315,8164.68445812036,0.126101997068684,0.105920744078897,39.1630526998652,101567.890010123,77082.9598028387,4.96926279095725,12782.8095081843,9720.31517110307,NA
"Coho","with Project 10",1320,"Stevens Tidal SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.961538461538462,0.00191256381275354,1500,2.86884571913031,116.878652539009,76.1379979406709,0.120913382562597,0.112009099664553,25.3442138838887,1049.42135449016,679.748325526142,3.06872514909056,126.793126178194,82.1906693306271,NA
"Coho","with Project 10",1330,"Elizabeth Creek SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.888888888888889,0.00160270620441911,1500,2.40405930662866,150.910188280007,88.1371161416013,0.126367390261835,0.078897595181195,29.2323033352551,1972.2388937011,1117.10776404765,3.73195828077543,247.3017231491,141.165992783935,NA
"Coho","with Project 10",1350,"Satsop SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.893238434163701,0.00315286797713632,1500,4.72930196570446,16197.0778140742,12772.2430432072,0.128011752507422,0.10764412776417,41.836190987815,152520.096190064,118652.483033622,5.38126191084319,19497.7465738423,15188.9122924912,NA
